Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
22.1,5520,0.06334841628959269,-0.004524886877828118,2,7,3
22.2,3490,0.04205607476635524,0.006756756756756853,3,7,3
22.8,3720,0.031674208144796344,0.00657894736842099,4,7,3
22.2,3990,0.08181818181818185,0.006756756756756853,0,7,3
22.55,2505,0.07692307692307702,-0.006651884700665283,1,7,3
22.7,1625,0.02690582959641246,-0.004405286343612241,2,7,3
22.3,2770,0.02262443438914027,-0.006726457399103235,3,7,3
22.0,2200,0.03720930232558143,0.0,4,7,3
22.8,2085,0.045454545454545456,0.00657894736842099,0,7,3
23.2,3570,0.01960784313725487,0.006465517241379402,1,7,3
23.1,1905,0.019650655021834187,-0.006493506493506585,2,7,3
23.5,2150,0.023965141612200466,0.0,3,7,3
24.2,3965,0.02978723404255316,0.006198347107438105,4,7,3
25.65,4810,0.05338809034907586,-0.0019493177387913123,0,7,3
25.25,5155,0.0362903225806451,-0.005940594059405884,1,7,3
25.6,2835,0.04838709677419352,0.0,2,7,3
26.45,3935,0.051383399209486195,0.005671077504725979,3,7,3
27.0,5040,0.02661596958174902,0.005555555555555503,4,7,3
28.6,3060,0.055350553505535055,0.005244755244755195,0,7,3
28.0,3215,0.04332129963898915,0.0,1,7,3
28.1,2665,0.0386740331491713,0.0,2,7,3
28.2,2465,0.01433691756272409,0.005319148936170288,3,7,3
27.8,3185,0.02158273381294956,0.0,4,7,3
25.9,2810,0.094302554027505,0.0,0,8,3
27.1,4030,0.08267716535433077,0.0036900369003689247,1,8,3
27.35,3665,0.033834586466165356,0.003656307129798825,2,8,3
27.1,1485,0.035849056603773556,-0.011070110701107036,3,8,3
28.0,2260,0.05263157894736836,0.005357142857142806,4,8,3
28.5,4505,0.03956834532374093,-0.024561403508771906,0,8,3
26.9,1030,0.05904761904761908,0.003717472118959161,1,8,3
27.0,5050,0.05162523900573619,-0.005555555555555503,2,8,3
26.1,5585,0.040697674418604675,0.003831417624520991,3,8,3
27.6,4220,0.05747126436781609,0.0054347826086956,4,8,3
27.7,4360,0.04000000000000005,0.005415162454873723,0,8,3
27.55,2880,0.03130755064456727,0.0,1,8,3
27.55,1350,0.03512014787430681,0.0018148820326679023,2,8,3
27.4,960,0.0146520146520146,0.0036496350364964023,3,8,3
26.85,2115,0.026119402985074598,-0.0018621973929236763,4,8,3
26.05,1330,0.030769230769230795,-0.0019193857965451328,0,8,3
25.25,1860,0.045908183632734474,-0.005940594059405884,1,8,3
26.2,4670,0.06425702811244986,-0.005725190839694603,2,8,3
26.1,3265,0.03501945525291837,0.0057471264367815545,3,8,3
26.2,1010,0.03137254901960787,-0.01145038167938934,4,8,3
25.55,885,0.03599999999999994,-0.001956947162426642,0,8,3
